Image name,Focal length,F-number,Exposure time,ISO,Brightness,Flash,Time,Unnamed: 8
00001.jpg,4.2,1.7,0.1,200,-1.21,0,-0.965926,-0.258819
00002.jpg,4.04,2.0,0.05,400,3.0,0,-1.0,0.0
00003.jpg,4.225,2.0,0.001292,100,0.0,0,-0.866025,-0.5
00004.jpg,4.5,2.2,0.03,320,0.0,0,-0.866025,-0.5
00005.jpg,3.66,2.2,0.03003,57,0.0,0,-0.866025,0.5
00006.jpg,3.83,2.2,0.001953,100,0.0,0,-0.965926,-0.258819
00007.jpg,3.99,1.8,0.01,25,5.65563,0,-0.866025,-0.5
00008.jpg,3.99,1.8,6.2e-05,20,12.693529,0,-0.5,-0.866025
00009.jpg,2.93,2.2,0.04,899,0.0,0,-0.866025,-0.5
00010.jpg,3.66,2.2,0.03003,319,0.0,0,-1.0,0.0
00011.jpg,4.5,2.2,0.00104,50,0.0,0,-0.707107,-0.707107
00012.jpg,3.57,2.0,0.030303,200,0.0,0,0.5,-0.866025
00013.jpg,4.5,2.2,0.04,400,0.0,0,-0.866025,0.5
00014.jpg,4.15,2.2,5e-05,32,8.366009,0,-0.258819,-0.965926
00015.jpg,4.15,2.2,0.007874,25,7.108441,0,-0.707107,-0.707107
00016.jpg,4.04,2.0,0.04,100,3.0,0,-0.866025,-0.5
00017.jpg,4.2,1.7,0.01,100,3.12,0,-0.707107,-0.707107
00018.jpg,4.8,2.2,0.030303,40,3.71,0,-0.258819,-0.965926
00019.jpg,3.83,2.2,0.008338,155,0.0,0,-0.866025,-0.5
00020.jpg,4.2,1.7,0.01,320,1.58,0,-1.0,0.0
00021.jpg,3.95,1.6,2.7e-05,800,0.0,0,-0.707107,-0.707107
00022.jpg,4.04,2.0,0.05,700,3.0,0,-1.0,0.0
00023.jpg,3.83,2.2,0.05,771,0.0,0,-0.707107,-0.707107
00024.jpg,3.82,1.8,0.04,800,0.0,0,-0.866025,-0.5
00025.jpg,3.7,2.2,0.008331,196,0.0,0,-0.5,-0.866025
00026.jpg,4.04,2.0,0.01,100,0.0,0,-0.866025,-0.5
00027.jpg,3.46,2.2,0.083333,2700,0.0,0,-0.5,0.866025
00028.jpg,3.79,2.0,0.040002,400,0.0,0,-0.258819,-0.965926
00029.jpg,3.82,1.8,0.008403,100,0.0,0,-0.965926,-0.258819
00030.jpg,3.66,2.2,0.01,98,0.0,0,-0.707107,-0.707107
00031.jpg,3.5,2.2,0.002888,50,0.0,0,-0.5,-0.866025
00032.jpg,3.95,1.6,0.000604,50,0.0,0,0.707107,-0.707107
00033.jpg,3.46,2.2,0.01,100,0.0,0,-0.5,-0.866025
00034.jpg,3.95,1.8,0.001313,50,7.25,0,-0.866025,-0.5
00035.jpg,3.66,2.2,0.005071,50,0.0,0,0.707107,-0.707107
00036.jpg,4.15,2.2,0.058824,125,1.034438,0,-0.965926,0.258819
00037.jpg,4.15,2.2,0.01,25,5.840841,0,-0.866025,-0.5
00038.jpg,4.6,2.2,0.0168,50,0.0,1,-0.707107,-0.707107
00039.jpg,3.83,1.8,0.03,200,0.0,0,-0.5,-0.866025
00040.jpg,3.82,1.8,0.083333,3200,-5.51,0,-1.0,0.0
00041.jpg,4.1,1.7,0.1,200,3.0,0,-0.866025,0.5
00042.jpg,3.7,2.2,0.003381,109,0.0,0,-0.5,-0.866025
00043.jpg,3.83,1.8,0.009238,50,0.0,0,-0.965926,-0.258819
00044.jpg,4.15,2.2,0.058824,32,3.360018,0,-0.866025,-0.5
00045.jpg,3.5,2.0,0.020003,51,0.0,0,-0.866025,-0.5
00046.jpg,3.95,1.6,0.03,400,0.0,0,-0.965926,0.258819
00047.jpg,3.5,2.0,0.02,50,0.0,0,-0.866025,-0.5
00048.jpg,4.36,2.2,0.00095,50,0.0,0,0.0,-1.0
00049.jpg,4.6,2.2,0.066667,3212,0.0,1,0.0,0.0
00050.jpg,3.7,1.9,0.030303,160,0.0,0,-0.5,-0.866025
00051.jpg,3.7,2.2,0.033335,243,0.0,0,-0.707107,-0.707107
00052.jpg,3.46,2.2,0.005714,100,0.0,0,-0.5,-0.866025
00053.jpg,3.82,1.8,0.001835,100,5.87,0,-0.866025,-0.5
00054.jpg,3.66,2.2,0.02,55,0.0,0,-0.707107,-0.707107
00055.jpg,3.5,2.2,0.019998,64,0.0,0,-0.707107,-0.707107
00056.jpg,4.5,2.2,0.04,500,0.0,0,0.707107,-0.707107
00057.jpg,3.46,2.2,0.04,200,0.0,0,-0.866025,-0.5
00058.jpg,3.79,2.0,0.069999,1919,0.0,0,-0.707107,0.707107
00059.jpg,4.36,2.2,0.02,50,0.0,0,0.5,-0.866025
00060.jpg,4.3,1.9,0.04,400,-0.73,0,0.707107,-0.707107
00061.jpg,4.15,2.2,0.000572,25,11.157224,0,-0.5,-0.866025
00062.jpg,3.5,2.2,0.009055,113,0.0,0,-0.965926,-0.258819
00063.jpg,3.66,2.2,0.03003,139,0.0,0,-1.0,0.0
00064.jpg,4.1,1.7,0.02,33,3.0,0,-0.707107,-0.707107
00065.jpg,3.66,2.2,0.000975,50,0.0,0,-0.258819,-0.965926
00066.jpg,4.15,2.2,0.058824,80,2.086098,0,-0.707107,-0.707107
00067.jpg,4.5,2.2,0.01,100,0.0,0,-0.258819,-0.965926
00068.jpg,3.82,1.8,0.083333,6400,0.0,0,-0.866025,0.5
00069.jpg,3.5,2.2,0.00278,109,0.0,0,-0.866025,-0.5
00070.jpg,3.66,2.2,0.000892,50,0.0,0,-0.707107,-0.707107
00071.jpg,4.6,2.2,0.0048,50,0.0,0,0.5,-0.866025
00072.jpg,4.3,1.9,0.0005,125,7.45,0,0.5,-0.866025
00073.jpg,4.1,1.7,0.01,34,0.0,0,-0.5,-0.866025
00074.jpg,4.2,1.7,0.01,100,3.28,0,-0.707107,-0.707107
00075.jpg,3.79,2.0,0.008383,50,0.0,0,-0.866025,-0.5
00076.jpg,3.79,2.0,0.000881,50,0.0,0,-0.5,-0.866025
00077.jpg,3.5,2.0,0.059996,42,0.0,0,-0.965926,0.258819
00078.jpg,4.2,1.7,0.000853,50,7.56,0,0.866025,-0.5
00079.jpg,4.15,2.2,0.000962,25,9.643136,0,-0.258819,-0.965926
00080.jpg,2.96,2.0,0.008333,72,0.0,0,-0.866025,-0.5
00081.jpg,4.26,2.0,0.009259,50,0.0,1,-0.866025,-0.5
00082.jpg,3.95,1.6,0.0004,3200,0.0,0,-0.258819,-0.965926
00083.jpg,4.5,2.2,0.04,400,0.0,0,-0.707107,-0.707107
00084.jpg,3.66,2.2,0.004014,50,0.0,0,0.258819,-0.965926
00085.jpg,3.82,1.8,0.000412,125,0.0,0,-0.5,-0.866025
00086.jpg,3.79,2.0,0.069999,2678,0.0,0,-0.866025,0.5
00087.jpg,3.5,2.0,0.020003,45,0.0,0,-1.0,0.0
00088.jpg,4.15,2.2,0.058824,80,2.010233,0,-0.5,-0.866025
00089.jpg,4.15,2.2,0.058824,125,1.137859,0,-0.5,-0.866025
00090.jpg,4.5,2.2,0.01,100,0.0,0,-0.866025,-0.5
00091.jpg,3.95,2.2,0.001228,50,0.0,0,-0.5,-0.866025
00092.jpg,3.83,2.2,0.008338,165,0.0,0,-0.707107,-0.707107
00093.jpg,4.15,2.2,0.02,32,5.215936,0,-0.707107,-0.707107
00094.jpg,3.66,2.2,0.02,64,3.0,0,-0.965926,-0.258819
00095.jpg,3.83,1.8,0.06,2000,0.0,0,-0.866025,0.5
00096.jpg,3.5,2.2,0.050005,1000,0.0,0,-1.0,0.0
00097.jpg,4.5,2.2,0.000766,50,0.0,0,0.5,-0.866025
00098.jpg,3.83,2.2,0.008338,175,0.0,0,-0.5,-0.866025
00099.jpg,3.82,1.8,0.030303,320,0.0,0,-0.866025,0.5
00100.jpg,4.5,2.0,0.083333,1093,0.0,0,-0.866025,0.5
00101.jpg,4.5,2.0,0.083333,9746,0.0,0,0.707107,0.707107
00102.jpg,4.15,2.2,0.25,125,-1.846403,0,-0.965926,0.258819
00103.jpg,4.225,2.0,0.000564,100,0.0,0,-0.5,-0.866025
00104.jpg,3.83,2.2,0.000618,100,0.0,0,0.5,-0.866025
00105.jpg,2.93,2.2,0.04,873,0.0,0,-0.707107,-0.707107
00106.jpg,3.95,2.2,0.002786,50,0.0,0,0.0,-1.0
00107.jpg,3.66,2.2,0.02,60,0.0,0,-0.5,-0.866025
00108.jpg,3.99,1.8,0.000313,20,11.268524,0,-0.707107,-0.707107
00109.jpg,3.66,2.2,0.000747,50,0.0,0,0.5,-0.866025
00110.jpg,4.5,2.2,0.005663,160,0.0,0,-0.866025,-0.5
