Image name,Animal,Cityscape,Human,Indoor scene,Landscape,Night scene,Plant,Still-life,Others
00001.jpg,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0
00002.jpg,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
00003.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00004.jpg,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.333333,0.0
00005.jpg,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
00006.jpg,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
00007.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
00008.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00009.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00010.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
00011.jpg,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
00012.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
00013.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
00014.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00015.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00016.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
00017.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
00018.jpg,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
00019.jpg,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
00020.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
00021.jpg,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
00022.jpg,0.0,0.0,0.333333,0.333333,0.0,0.333333,0.0,0.0,0.0
00023.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
00024.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
00025.jpg,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
00026.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
00027.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00028.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00029.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
00030.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00031.jpg,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
00032.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
